mssv,ho_ten,ma_nganh,ngay_sinh
25001,Hoàng Anh,KTDL,5/10/2007
25002,Vũ Huỳnh Ngọc Anh,AI,2/12/2007
25003,Vũ Phương Ân,CNTT,30/6/2007
25004,Huỳnh Đông Ân,ATTT,8/1/2007
25005,Trần Ánh,KTDL,9/11/2007
25006,Trần Phan Tú Ánh,AI,4/1/2007
25007,Phạm Huỳnh Quang Bách,CNTT,4/11/2007
25008,Vũ Phan Đức Bách,ATTT,18/1/2007
25009,Vũ Bảo,KTDL,23/7/2007
25010,Phạm Chí Bảo,AI,22/9/2007
25011,Phan Trần Thùy Bích,CNTT,4/3/2007
25012,Huỳnh Bích,ATTT,11/1/2007
25013,Huỳnh Bình,KTDL,28/7/2007
25014,Võ Khánh Bình,AI,9/5/2007
25015,Hoàng Bùi Thanh Châu,CNTT,7/11/2007
25016,Lê Châu,ATTT,15/1/2007
25017,Trần Cát Chi,KTDL,2/7/2007
25018,Nguyễn Thanh Chi,AI,26/5/2007
25019,Hoàng Cúc,CNTT,4/11/2007
25020,Lê Cúc,ATTT,14/1/2007
25021,Lê Văn Cường,KTDL,6/3/2007
25022,Nguyễn Gia Cường,AI,18/9/2007
25023,Vũ Minh Cẩm,CNTT,24/3/2007
25024,Bùi Trần Cát Cẩm,ATTT,5/5/2007
25025,Bùi Diệp,KTDL,12/7/2007
25026,Bùi Phạm Phương Diệp,AI,19/9/2007
25027,Bùi Phạm Cát Dung,CNTT,26/7/2007
25028,Võ Ngọc Dung,ATTT,30/1/2007
25029,Hoàng Chí Dũng,KTDL,20/3/2007
25030,Bùi Lê Tấn Dũng,AI,20/9/2007
25031,Phan Dương,CNTT,6/3/2007
25032,Phan Dương,ATTT,20/9/2007
25033,Võ Đạt,KTDL,22/12/2007
25034,Võ Trần Chí Đạt,AI,16/2/2007
25035,Võ Vũ Tấn Đăng,CNTT,6/12/2007
25036,Huỳnh Đông Đăng,ATTT,9/2/2007
25037,Trần Thùy Đào,KTDL,5/12/2007
25038,Bùi Hoàng Minh Đào,AI,25/2/2007
25039,Huỳnh Điệp,CNTT,11/12/2007
25040,Võ Điệp,ATTT,9/10/2007
25041,Nguyễn Giang,KTDL,25/8/2007
25042,Võ Tuệ Giang,AI,21/10/2007
25043,Lê Hà,CNTT,21/4/2007
25044,Lê Hà,ATTT,11/2/2007
25045,Lê Hào,KTDL,6/12/2007
25046,Phạm Võ Tuệ Hào,AI,12/10/2007
25047,Lê Bùi Tuệ Hạnh,CNTT,17/8/2007
25048,Phạm Hạnh,ATTT,30/10/2007
25049,Vũ Bùi Tuệ Hằng,KTDL,3/12/2007
25050,Vũ Hằng,AI,10/10/2007
25051,Lê Hiếu,CNTT,5/4/2007
25052,Phạm Văn Hiếu,ATTT,14/2/2007
25053,Bùi Tú Hoa,KTDL,10/12/2007
25054,Lê Thùy Hoa,AI,19/6/2007
25055,Phan Đức Hoàng,CNTT,28/4/2007
25056,Vũ Hoàng,ATTT,22/6/2007
25057,Phạm Huệ,KTDL,3/5/2007
25058,Phạm Minh Huệ,AI,23/7/2007
25059,Nguyễn Hùng,CNTT,28/9/2007
25060,Huỳnh Hoàng Tấn Hùng,ATTT,29/11/2007
25061,Bùi Huy,KTDL,17/9/2007
25062,Huỳnh Hoàng Văn Huy,AI,9/11/2007
25063,Nguyễn Phạm Thị Hương,CNTT,30/5/2007
25064,Võ Khánh Hương,ATTT,20/7/2007
25065,Lê Văn Khang,KTDL,21/5/2007
25066,Huỳnh Gia Khang,AI,19/3/2007
25067,Vũ Minh Khánh,CNTT,9/1/2007
25068,Phan Khánh,ATTT,30/11/2007
25069,Phan Trần Chí Khoa,KTDL,31/1/2007
25070,Nguyễn Khoa,AI,27/11/2007
25071,Huỳnh Quang Khôi,CNTT,12/5/2007
25072,Vũ Khôi,ATTT,22/7/2007
25073,Vũ Minh Kiên,KTDL,20/5/2007
25074,Nguyễn Phạm Chí Kiên,AI,1/11/2007
25075,Võ Lan,CNTT,7/1/2007
25076,Huỳnh Khánh Lan,ATTT,28/7/2007
25077,Phạm Bùi Đông Lâm,KTDL,29/5/2007
25078,Hoàng Lâm,AI,3/11/2007
25079,Lê Liên,CNTT,28/9/2007
25080,Lê Huỳnh Thanh Liên,ATTT,30/11/2007
25081,Lê Phương Linh,KTDL,3/1/2007
25082,Võ Tú Linh,AI,12/3/2007
25083,Lê Minh Long,CNTT,23/5/2007
25084,Huỳnh Long,ATTT,25/11/2007
25085,Nguyễn Lộc,KTDL,31/5/2007
25086,Huỳnh Thành Lộc,AI,6/7/2007
25087,Trần Ly,CNTT,14/1/2007
25088,Trần Thùy Ly,ATTT,16/3/2007
25089,Bùi Thanh Mai,KTDL,17/5/2007
25090,Lê Minh Mai,AI,19/11/2007
25091,Nguyễn Trần Anh Mạnh,CNTT,3/5/2007
25092,Nguyễn Thành Mạnh,ATTT,28/11/2007
25093,Phạm Huỳnh Đông Minh,KTDL,5/1/2007
25094,Hoàng Minh,AI,23/3/2007
25095,Vũ Minh My,CNTT,11/9/2007
25096,Bùi My,ATTT,17/3/2007
25097,Phan Nam,KTDL,4/1/2007
25098,Bùi Vũ Minh Nam,AI,23/11/2007
25099,Phan Thanh Nga,CNTT,2/2/2007
25100,Vũ Cát Nga,ATTT,23/12/2007
25101,Bùi Tú Ngân,KTDL,18/6/2007
25102,Lê Nguyễn Ngọc Ngân,AI,6/12/2007
25103,Hoàng Nghĩa,CNTT,10/2/2007
25104,Vũ Nghĩa,ATTT,1/12/2007
25105,Lê Ngọc,KTDL,7/6/2007
25106,Hoàng Minh Ngọc,AI,21/8/2007
25107,Huỳnh Nguyệt,CNTT,22/6/2007
25108,Phan Hoàng Cát Nguyệt,ATTT,11/12/2007
25109,Phan Nhã,KTDL,2/6/2007
25110,Bùi Thanh Nhã,AI,14/8/2007
25111,Hoàng Nhân,CNTT,4/10/2007
25112,Vũ Võ Đức Nhân,ATTT,30/8/2007
25113,Trần Nhật,KTDL,31/10/2007
25114,Phạm Nhật,AI,30/12/2007
25115,Lê Cát Nhi,CNTT,21/2/2007
25116,Bùi Trần Cát Nhi,ATTT,27/8/2007
25117,Bùi Khánh Nhung,KTDL,5/2/2007
25118,Phạm Cát Nhung,AI,12/4/2007
25119,Võ Phạm Phương Oanh,CNTT,19/10/2007
25120,Bùi Oanh,ATTT,10/12/2007
25121,Bùi Vũ Văn Phong,KTDL,7/10/2007
25122,Huỳnh Gia Phong,AI,29/12/2007
25123,Vũ Phan Đông Phát,CNTT,7/10/2007
25124,Lê Phát,ATTT,28/4/2007
25125,Hoàng Chí Phúc,KTDL,6/6/2007
25126,Bùi Trần Văn Phúc,AI,24/12/2007
25127,Phan Phương,CNTT,5/2/2007
25128,Võ Vũ Thùy Phương,ATTT,24/8/2007
25129,Phan Quang,KTDL,22/2/2007
25130,Nguyễn Vũ Minh Quang,AI,24/12/2007
25131,Nguyễn Vũ Chí Quân,CNTT,20/2/2007
25132,Phan Quân,ATTT,24/8/2007
25133,Võ Tuệ Quyên,KTDL,8/2/2007
25134,Vũ Quyên,AI,8/4/2007
25135,Trần Võ Thanh Quỳnh,CNTT,13/10/2007
25136,Hoàng Thị Quỳnh,ATTT,7/8/2007
25137,Bùi Gia Sơn,KTDL,24/10/2007
25138,Lê Chí Sơn,AI,4/8/2007
25139,Bùi Vũ Anh Tài,CNTT,18/6/2007
25140,Bùi Phạm Văn Tài,ATTT,26/4/2007
25141,Huỳnh Quang Tâm,KTDL,12/6/2007
25142,Lê Phan Khánh Tâm,AI,26/12/2007
25143,Trần Võ Tuệ Thanh,CNTT,29/10/2007
25144,Vũ Thanh,ATTT,31/8/2007
25145,Vũ Nguyễn Đông Thành,KTDL,22/6/2007
25146,Hoàng Thành,AI,6/12/2007
25147,Phạm Võ Ngọc Thảo,CNTT,6/10/2007
25148,Hoàng Minh Thảo,ATTT,26/4/2007
25149,Phan Trần Thị Thắm,KTDL,9/2/2007
25150,Bùi Vũ Minh Thắm,AI,2/9/2007
25151,Nguyễn Đức Thắng,CNTT,25/10/2007
25152,Lê Phan Thành Thắng,ATTT,1/4/2007
25153,Phạm Thịnh,KTDL,19/10/2007
25154,Vũ Thịnh,AI,28/4/2007
25155,Vũ Huỳnh Tú Thu,CNTT,25/2/2007
25156,Vũ Thị Thu,ATTT,19/12/2007
25157,Nguyễn Vũ Thùy Thủy,KTDL,9/6/2007
25158,Huỳnh Tú Thủy,AI,9/4/2007
25159,Hoàng Tiên,CNTT,29/6/2007
25160,Vũ Bùi Thanh Tiên,ATTT,25/4/2007
25161,Trần Huỳnh Đông Tiến,KTDL,24/2/2007
25162,Hoàng Tiến,AI,3/8/2007
25163,Hoàng Bùi Quang Toàn,CNTT,18/2/2007
